SampleID,UniqueID,GenotypeID,Reef,BagID,Species,ClipID,RackID,Treatment,Chla_ug_cm2,Colour Change,CatalaseU,Protein_ug_cm2,FvFm
1411,S1375,JAN2019_Creech_A. tenuis_108,Creech,108,A. tenuis,1,9,Ambient,2.817491927,-0.261335593,0.012236046,0.086268337,0.648889195
1406,S1370,JAN2019_Creech_A. tenuis_105,Creech,105,A. tenuis,5,6,Ambient,0.427548431,-0.739430363,0.023536616,0.08653184,0.683775958
1074,S990,JAN2019_13-124_A. tenuis_195,13-124,195,A. tenuis,1,B48,Ambient,4.793121999,-0.91177,0.096693665,0.088464048,0.655913103
1484,S1448,JAN2019_Creech_A. tenuis_108,Creech,108,A. tenuis,1,39,Ambient,3.934188851,-0.583742801,0.018566006,0.088713684,0.624697539
2288,S2200,JAN2019_11-049_A. tenuis_73,11-049,73,A. tenuis,3,38,Ambient,3.588750914,-0.23558,0.044633264,0.088879898,0.654439749
1421,S1385,JAN2019_Creech_A. tenuis_112,Creech,112,A. tenuis,2,11,Ambient,3.17477246,6.261403874,0.056798313,0.090102717,0.679944165
1343,S1309,JAN2019_13-123_A. tenuis_2,13-123,2,A. tenuis,5,21,Ambient,2.325236038,-0.641543168,0.091828223,0.090143855,0.662014207
2268,S2180,JAN2019_11-049_A. tenuis_58,11-049,58,A. tenuis,3,1,Ambient,7.420430036,0.152968,0.141153256,0.090206916,0.661699831
1402,S1366,JAN2019_Creech_A. tenuis_81,Creech,81,A. tenuis,1,6,Ambient,3.9608321,-0.554619025,0.014443759,0.09030529,0.695429534
1439,S1403,JAN2019_Creech_A. tenuis_90,Creech,90,A. tenuis,3,20,Ambient,2.526203719,-0.434157206,0.05592926,0.091066895,0.678353096
1535,S1499,JAN2019_Creech_A. tenuis_83,Creech,83,A. tenuis,2,63,Ambient,4.526970918,-0.273383059,0.026513217,0.091355692,0.688736947
1366,S1332,JAN2019_13-123_A. tenuis_3,13-123,3,A. tenuis,8,26,Ambient,2.841024349,-0.659055718,0.089695385,0.091420534,0.697816657
1418,S1382,JAN2019_Creech_A. tenuis_91,Creech,91,A. tenuis,4,10,Ambient,3.463497771,-0.638489314,0.030132795,0.092922014,0.684129576
1440,S1404,JAN2019_Creech_A. tenuis_91,Creech,91,A. tenuis,4,20,Ambient,5.218903089,-0.846796058,0.074778349,0.093609984,0.675301424
1303,S1269,JAN2019_13-123_A. tenuis_23,13-123,23,A. tenuis,5,5,Ambient,4.321622539,-0.018990546,0.038680754,0.09545594,0.65714495
1329,S1295,JAN2019_13-123_A. tenuis_24,13-123,24,A. tenuis,7,16,Ambient,4.08059383,-0.751120067,0.050724386,0.095538936,0.670556204
1512,S1476,JAN2019_Creech_A. tenuis_83,Creech,83,A. tenuis,2,45,Ambient,4.119041753,0.010228783,0.033458201,0.095888299,0.681120168
1539,S1503,JAN2019_Creech_A. tenuis_108,Creech,108,A. tenuis,1,64,Ambient,4.871444207,-0.238908591,0.045338653,0.097040819,0.656769538
1345,S1311,JAN2019_13-123_A. tenuis_3,13-123,3,A. tenuis,7,21,Ambient,4.898042461,-0.757498775,0.081654752,0.097296848,0.677912785
1404,S1368,JAN2019_Creech_A. tenuis_90,Creech,90,A. tenuis,3,6,Ambient,3.32591412,-0.386512997,0.031366741,0.097919915,0.67481995
1462,S1426,JAN2019_Creech_A. tenuis_83,Creech,83,A. tenuis,2,31,Ambient,4.343471981,0.13226313,0.03540317,0.098585389,0.670957043
1347,S1313,JAN2019_13-123_A. tenuis_4,13-123,4,A. tenuis,9,21,Ambient,3.762578429,-0.166569449,0.052252175,0.099517388,0.642848627
1445,S1409,JAN2019_Creech_A. tenuis_67,Creech,67,A. tenuis,4,24,Ambient,2.688242432,-0.406074718,0.074469928,0.100532061,0.689746929
1346,S1312,JAN2019_13-123_A. tenuis_3,13-123,3,A. tenuis,8,21,Ambient,4.207782491,-0.890382452,0.016558902,0.100650794,0.675921202
1458,S1422,JAN2019_Creech_A. tenuis_90,Creech,90,A. tenuis,3,28,Ambient,2.908742043,-0.551285853,0.183779508,0.100967006,0.685534264
2229,S2141,JAN2019_11-049_A. tenuis_32,11-049,32,A. tenuis,4,24,Ambient,2.790717612,-0.04535,0.168530559,0.101681681,0.6796376
1301,S1267,JAN2019_13-123_A. tenuis_22,13-123,22,A. tenuis,3,5,Ambient,5.690178201,-0.025598588,0.02442622,0.10177929,0.650825972
1437,S1401,JAN2019_Creech_A. tenuis_81,Creech,81,A. tenuis,1,20,Ambient,3.700100559,-0.237246231,0.066789519,0.102045285,0.666517098
1463,S1427,JAN2019_Creech_A. tenuis_90,Creech,90,A. tenuis,3,31,Ambient,3.379145938,-0.181355074,0.033235863,0.104462961,0.676366528
1389,S1353,JAN2019_Creech_A. tenuis_81,Creech,81,A. tenuis,1,3,Ambient,5.258490037,-0.747137609,0.034194082,0.108205858,0.685351596
1498,S1462,JAN2019_Creech_A. tenuis_108,Creech,108,A. tenuis,1,42,Ambient,2.424891305,0.130194912,0.08790205,0.108461634,0.660430824
1339,S1305,JAN2019_13-123_A. tenuis_29,13-123,29,A. tenuis,1,21,Ambient,7.009177651,-0.267832266,0.006443862,0.111643712,0.693498266
1434,S1398,JAN2019_Creech_A. tenuis_90,Creech,90,A. tenuis,3,18,Ambient,3.206813329,0.456164675,0.047826548,0.116134941,0.681772109
1438,S1402,JAN2019_Creech_A. tenuis_83,Creech,83,A. tenuis,2,20,Ambient,4.525469048,-0.081310459,0.103021945,0.1166823,0.662479437
2236,S2148,JAN2019_11-049_A. tenuis_35,11-049,35,A. tenuis,1,9,Ambient,7.376794883,0.028712,0.272463558,0.117446899,0.676545833
2230,S2142,JAN2019_11-049_A. tenuis_33,11-049,33,A. tenuis,5,24,Ambient,6.37203867,-0.07625,0.046274444,0.11823015,0.663864596
1291,S1257,JAN2019_13-123_A. tenuis_5,13-123,5,A. tenuis,1,3,Ambient,5.409831166,-0.343302398,0.009692616,0.121114154,0.663942546
1397,S1361,JAN2019_Creech_A. tenuis_67,Creech,67,A. tenuis,4,4,Ambient,1.43765863,-0.029247571,0.011504493,0.131695586,0.680240472
1487,S1451,JAN2019_Creech_A. tenuis_67,Creech,67,A. tenuis,4,39,Ambient,2.329745113,-0.036730947,0.012274453,0.133073138,0.691582862
1298,S1264,JAN2019_13-123_A. tenuis_24,13-123,24,A. tenuis,8,3,Ambient,6.320359877,-0.591898419,0.014025011,0.151406765,0.673614959
