SampleID,GenotypeID,Species,ClipID,RackID,Treatment,Tank,Size,Chla_ug_cm2,Zoox_ug_protein,Zoox_cm2,BeforeColour,AfterColour,ColourChange,CatalaseU,Surface,Protein_ug_cm2
1273,JAN2019_13-123_A. tenuis_1,A. tenuis,3,1,High,2,Large,0.585220076,-158638.9016,2193124.066,6.886653491,2.624441503,-4.262211989,0,7.826086957,0
1274,JAN2019_13-123_A. tenuis_1,A. tenuis,4,1,High,2,Small,0.98759789,-77335.65684,6635028.249,7.192371542,2.926471399,-4.265900142,0,2.7090301,0
1275,JAN2019_13-123_A. tenuis_2,A. tenuis,5,1,High,2,Large,1.599784675,-1762935.917,3172595.52,6.849894598,4.762659275,-2.087235323,0.063322217,8.104575163,0
1276,JAN2019_13-123_A. tenuis_2,A. tenuis,6,1,High,2,Small,1.730448603,-293682.5029,7723206.751,7.082819499,4.436841525,-2.645977975,0,3.277591973,0
1277,JAN2019_13-123_A. tenuis_3,A. tenuis,7,1,High,2,Large,3.18346974,20821550,17635806.83,8.170447958,4.768657951,-3.401790006,1.917922001,8.72909699,0.003432491
1278,JAN2019_13-123_A. tenuis_3,A. tenuis,8,1,High,2,Small,2.832733837,-557787.5415,15592509.36,7.820342556,4.819308842,-3.001033714,0,3.076923077,0
1279,JAN2019_13-123_A. tenuis_4,A. tenuis,9,1,High,2,Large,2.445647064,216990.9237,2938181.818,7.054914361,6.131115892,-0.923798469,0.015670662,20.22875817,0.049087318
1280,JAN2019_13-123_A. tenuis_4,A. tenuis,10,1,High,2,Small,6.964809404,-2413249.309,20490476.19,6.920961792,5.864319598,-1.056642193,0,1.739130435,0
1307,JAN2019_13-123_A. tenuis_5,A. tenuis,1,7,High,4,Large,1.679507072,-1278954.545,5566502.463,7.282213439,4.139417508,-3.142795931,0.061306818,6.770833333,0
1308,JAN2019_13-123_A. tenuis_5,A. tenuis,2,7,High,4,Small,2.586218731,-102741.8182,8160000,7.305731225,4.430277456,-2.875453769,0,1.973244147,0
1309,JAN2019_13-123_A. tenuis_22,A. tenuis,3,7,High,4,Large,2.726988585,1413660.256,16401234.57,6.835744401,5.884191075,-0.951553325,1.776497062,17.95138889,0.031410128
1310,JAN2019_13-123_A. tenuis_22,A. tenuis,4,7,High,4,Small,4.018192643,3022039.024,19803030.3,6.803056653,6.174899333,-0.628157321,0.054811808,4.201388889,0.020587928
1311,JAN2019_13-123_A. tenuis_23,A. tenuis,5,7,High,4,Large,2.542491729,1682989.209,17810426.54,6.77629776,6.596654531,-0.179643229,0.053025704,7.534722222,0.029635223
1312,JAN2019_13-123_A. tenuis_23,A. tenuis,6,7,High,4,Small,1.716993581,457322.2222,9830188.679,6.19740448,6.023801644,-0.173602836,0.041692024,5.381944444,0.042335647
1313,JAN2019_13-123_A. tenuis_24,A. tenuis,7,7,High,4,Large,2.858692721,571833.7379,9399006.623,6.491857708,5.896326328,-0.59553138,0.889880685,10.3125,0.048134356
1314,JAN2019_13-123_A. tenuis_24,A. tenuis,8,7,High,4,Small,3.597068926,1071489.474,13506289.31,7.514914361,6.648312097,-0.866602264,0.146740941,4.583333333,0.043728423
